resume_text,job_description,match_score,match_label,match_label_lower,resume_len,jd_len
"Healthcare Analyst with 3 years of experience in healthcare data management. Skilled in SQL, healthcare informatics, HIPAA compliance, Tableau, clinical data, and statistics. Proven track record of delivering measurable results for cross-functional teams.","Healthcare Analyst needed at a growing financial services company. Required skills: SQL, healthcare informatics, HIPAA compliance, and Tableau.",0.91,high,high,33,18
"HR Manager with 5 years of experience. Skilled in recruitment, employee relations, HRIS, onboarding, and performance management. Looking for a recruitment focused role.","HR Manager needed at a growing healthcare organization. Required skills: recruitment, employee relations, and HRIS. The ideal candidate has 3+ years of experience in human resources and talent management and a strong ability to work independently as well as within a team. Responsibilities include applying recruitment to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.92,high,high,23,60
"Digital Marketing Specialist with 3 years of experience in digital marketing and brand growth. Skilled in SEO, Google Ads, content strategy, and social media marketing. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in SEO and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Backend Engineer needed at a growing consulting agency. Required skills: Python, FastAPI, PostgreSQL, REST APIs, Docker, and microservices. The ideal candidate has 10+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying Python to solve real business problems.",0.11,low,low,62,54
"Operations Manager with 10 years of experience in operations and process management. Skilled in process improvement, supply chain, team leadership, and budgeting. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in process improvement and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Operations Manager needed at a growing enterprise firm. Required skills: process improvement, supply chain, team leadership, budgeting, and vendor management. The ideal candidate has 9+ years of experience in operations and process management and a strong ability to work independently as well as within a team. Responsibilities include applying process improvement to solve real business problems.",0.44,medium,medium,60,56
"Recruiter with 6 years of experience in human resources and talent management. Skilled in sourcing, ATS systems, and interviewing. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in sourcing and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Recruiter needed at a growing enterprise firm. Required skills: sourcing, ATS systems, interviewing, and candidate screening. The ideal candidate has 4+ years of experience in human resources and talent management.",0.91,high,high,56,30
"Network Engineer with 2 years of experience in information security and risk management. Skilled in Cisco, routing and switching, network troubleshooting, VPN, and firewalls. Proven track record of delivering measurable results for cross-functional teams.","Cybersecurity Analyst needed at a growing technology company. Required skills: SIEM, penetration testing, network security, incident response, and firewalls.",0.43,medium,medium,34,19
"Machine Learning Engineer with 5 years of experience in data analysis and reporting. Skilled in Python, TensorFlow, and PyTorch. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Python and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Machine Learning Engineer needed at a growing technology company. Required skills: Python, TensorFlow, PyTorch, and model deployment. The ideal candidate has 3+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying Python to solve real business problems.",0.87,high,high,56,52
"DevOps Engineer with 10 years of experience in software engineering and application development. Skilled in Docker, Kubernetes, CI/CD, AWS, and Terraform. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in Docker and continue growing professionally as part of a driven team.","DevOps Engineer needed at a growing technology company. Required skills: Docker, Kubernetes, CI/CD, and AWS. The ideal candidate has 8+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying Docker to solve real business problems.",0.92,high,high,67,51
"UX Designer with 4 years of experience in user experience and visual design. Skilled in Figma, wireframing, user research, prototyping, and usability testing. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in Figma and continue growing professionally as part of a driven team.","UX Designer needed at a growing technology company. Required skills: Figma, wireframing, and user research. The ideal candidate has 2+ years of experience in user experience and visual design.",0.93,high,high,69,29
"Sales Manager with 10 years of experience in business development and client relationship management. Skilled in B2B sales, and CRM. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in B2B sales and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Sales Manager needed at a growing startup. Required skills: B2B sales, CRM, lead generation, negotiation, pipeline management, and Salesforce. The ideal candidate has 9+ years of experience in business development and client relationship management.",0.46,medium,medium,58,34
"Content Writer with 8 years of experience in digital marketing and brand growth. Skilled in SEO writing, copywriting, and content strategy. Proven track record of delivering measurable results for cross-functional teams.","Digital Marketing Specialist needed at a growing hospital network. Required skills: SEO, Google Ads, content strategy, social media marketing, analytics, and email marketing. The ideal candidate has 7+ years of experience in digital marketing and brand growth and a strong ability to work independently as well as within a team. Responsibilities include applying SEO to solve real business problems.",0.53,medium,medium,31,59
"Financial Analyst with 7 years of experience in financial planning and analysis. Skilled in financial modeling, and Excel. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in financial modeling and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Accountant needed at a growing enterprise firm. Required skills: bookkeeping, GAAP, tax preparation, and QuickBooks. The ideal candidate has 6+ years of experience in financial planning and analysis and a strong ability to work independently as well as within a team. Responsibilities include applying bookkeeping to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.49,medium,medium,56,59
"Content Writer with 7 years of experience in digital marketing and brand growth. Skilled in SEO writing, copywriting, content strategy, and editing. Proven track record of delivering measurable results for cross-functional teams.","Digital Marketing Specialist needed at a growing SaaS company. Required skills: SEO, Google Ads, and content strategy. The ideal candidate has 6+ years of experience in digital marketing and brand growth and a strong ability to work independently as well as within a team. Responsibilities include applying SEO to solve real business problems.",0.55,medium,medium,32,53
"Cloud Architect with 10 years of experience in software engineering and application development. Skilled in AWS, Azure, cloud migration, infrastructure as code, and cost optimization. Proven track record of delivering measurable results for cross-functional teams.","Cloud Architect needed at a growing startup. Required skills: AWS, Azure, cloud migration, and infrastructure as code.",0.9,high,high,35,17
"DevOps Engineer with 2 years of experience in software engineering and application development. Skilled in Docker, and Kubernetes. Proven track record of delivering measurable results for cross-functional teams.","Backend Engineer needed at a growing hospital network. Required skills: Python, FastAPI, PostgreSQL, REST APIs, Docker, and microservices. The ideal candidate has 1+ years of experience in software engineering and application development.",0.45,medium,medium,28,32
"Recruiter with 8 years of experience in human resources and talent management. Skilled in sourcing, ATS systems, interviewing, and candidate screening. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in sourcing and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Accountant needed at a growing SaaS company. Required skills: bookkeeping, GAAP, tax preparation, and QuickBooks. The ideal candidate has 1+ years of experience in financial planning and analysis.",0.06,low,low,58,28
"Financial Analyst with 5 years of experience in financial planning and analysis. Skilled in financial modeling, Excel, and forecasting. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in financial modeling and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Financial Analyst needed at a growing consulting agency. Required skills: financial modeling, Excel, forecasting, valuation, budgeting, and SQL. The ideal candidate has 3+ years of experience in financial planning and analysis and a strong ability to work independently as well as within a team. Responsibilities include applying financial modeling to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.94,high,high,57,63
"Full Stack Developer with 4 years of experience in software engineering and application development. Skilled in React, Node.js, JavaScript, MongoDB, and REST APIs. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in React and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Full Stack Developer needed at a growing startup. Required skills: React, Node.js, and JavaScript.",0.91,high,high,60,14
"Full Stack Developer with 4 years of experience in software engineering and application development. Skilled in React, Node.js, and JavaScript. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in React and continue growing professionally. Strong communicator with a history of mentoring junior team members.","DevOps Engineer needed at a growing financial services company. Required skills: Docker, Kubernetes, CI/CD, AWS, and Terraform. The ideal candidate has 3+ years of experience in software engineering and application development.",0.55,medium,medium,57,31
"Sales Manager with 3 years of experience in business development and client relationship management. Skilled in B2B sales, CRM, lead generation, negotiation, pipeline management, and Salesforce. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in B2B sales and continue growing professionally as part of a driven team.","Sales Manager needed at a growing financial services company. Required skills: B2B sales, CRM, lead generation, negotiation, pipeline management, and Salesforce. The ideal candidate has 1+ years of experience in business development and client relationship management and a strong ability to work independently as well as within a team. Responsibilities include applying B2B sales to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.89,high,high,73,68
"Machine Learning Engineer with 7 years of experience in data analysis and reporting. Skilled in Python, TensorFlow, PyTorch, model deployment, and scikit-learn. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Python and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Machine Learning Engineer needed at a growing healthcare organization. Required skills: Python, TensorFlow, and PyTorch.",0.95,high,high,59,15
"Product Manager with 3 years of experience. Skilled in roadmapping, Agile, stakeholder management, and user research. Looking for a roadmapping focused role.","Business Analyst needed at a growing e-commerce platform. Required skills: requirements gathering, SQL, process mapping, stakeholder communication, Excel, and Agile. The ideal candidate has 2+ years of experience in product strategy and cross-functional delivery and a strong ability to work independently as well as within a team. Responsibilities include applying requirements gathering to solve real business problems.",0.53,medium,medium,22,57
"Data Scientist with 2 years of experience in data analysis and reporting. Skilled in Python, machine learning, pandas, and statistics. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Python and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Machine Learning Engineer needed at a growing enterprise firm. Required skills: Python, TensorFlow, PyTorch, model deployment, scikit-learn, and MLOps. The ideal candidate has 1+ years of experience in data analysis and reporting.",0.48,medium,medium,57,32
"Financial Analyst with 4 years of experience in financial planning and analysis. Skilled in financial modeling, and Excel. Proven track record of delivering measurable results for cross-functional teams.","Full Stack Developer needed at a growing SaaS company. Required skills: React, Node.js, and JavaScript.",0.12,low,low,28,15
"Product Manager with 6 years of experience in product strategy and cross-functional delivery. Skilled in roadmapping, Agile, stakeholder management, user research, and A/B testing. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in roadmapping and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Product Manager needed at a growing SaaS company. Required skills: roadmapping, Agile, stakeholder management, user research, and A/B testing.",0.89,high,high,61,19
"Data Scientist with 3 years of experience in data analysis and reporting. Skilled in Python, and machine learning. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Python and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Data Analyst needed at a growing enterprise firm. Required skills: SQL, Python, and Power BI. The ideal candidate has 2+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying SQL to solve real business problems.",0.49,medium,medium,55,50
"Healthcare Analyst with 4 years of experience in healthcare data management. Skilled in SQL, healthcare informatics, and HIPAA compliance. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in SQL and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Financial Analyst needed at a growing startup. Required skills: financial modeling, Excel, and forecasting. The ideal candidate has 8+ years of experience in financial planning and analysis.",0.08,low,low,56,27
"Financial Analyst with 2 years of experience in financial planning and analysis. Skilled in financial modeling, Excel, forecasting, and valuation. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in financial modeling and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Accountant needed at a growing SaaS company. Required skills: bookkeeping, GAAP, tax preparation, QuickBooks, reconciliation, and financial reporting. The ideal candidate has 1+ years of experience in financial planning and analysis.",0.48,medium,medium,58,31
"Network Engineer with 7 years of experience in information security and risk management. Skilled in Cisco, routing and switching, network troubleshooting, VPN, and firewalls. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Cisco and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Network Engineer needed at a growing hospital network. Required skills: Cisco, routing and switching, network troubleshooting, VPN, firewalls, and TCP/IP. The ideal candidate has 5+ years of experience in information security and risk management and a strong ability to work independently as well as within a team. Responsibilities include applying Cisco to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.93,high,high,61,65
"DevOps Engineer with 4 years of experience in software engineering and application development. Skilled in Docker, Kubernetes, and CI/CD. Proven track record of delivering measurable results for cross-functional teams.","DevOps Engineer needed at a growing consulting agency. Required skills: Docker, Kubernetes, CI/CD, AWS, and Terraform. The ideal candidate has 2+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying Docker to solve real business problems.",0.94,high,high,29,52
"UX Designer with 4 years of experience in user experience and visual design. Skilled in Figma, wireframing, user research, and prototyping. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Figma and continue growing professionally. Strong communicator with a history of mentoring junior team members.","HR Manager needed at a growing consulting agency. Required skills: recruitment, employee relations, HRIS, onboarding, and performance management. The ideal candidate has 6+ years of experience in human resources and talent management and a strong ability to work independently as well as within a team. Responsibilities include applying recruitment to solve real business problems.",0.05,low,low,58,54
"Graphic Designer with 7 years of experience in user experience and visual design. Skilled in Adobe Photoshop, Illustrator, branding, typography, and layout design. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in Adobe Photoshop and continue growing professionally as part of a driven team.","Product Manager needed at a growing SaaS company. Required skills: roadmapping, Agile, stakeholder management, user research, A/B testing, and JIRA. The ideal candidate has 1+ years of experience in product strategy and cross-functional delivery and a strong ability to work independently as well as within a team. Responsibilities include applying roadmapping to solve real business problems.",0.06,low,low,70,56
"Accountant with 4 years of experience in financial planning and analysis. Skilled in bookkeeping, GAAP, tax preparation, and QuickBooks. Proven track record of delivering measurable results for cross-functional teams.","Accountant needed at a growing e-commerce platform. Required skills: bookkeeping, GAAP, tax preparation, QuickBooks, and reconciliation. The ideal candidate has 2+ years of experience in financial planning and analysis and a strong ability to work independently as well as within a team. Responsibilities include applying bookkeeping to solve real business problems.",0.94,high,high,29,51
"Sales Manager with 2 years of experience. Skilled in B2B sales, CRM, lead generation, and negotiation. Looking for a B2B sales focused role.","Sales Manager needed at a growing financial services company. Required skills: B2B sales, CRM, lead generation, negotiation, and pipeline management. The ideal candidate has 1+ years of experience in business development and client relationship management and a strong ability to work independently as well as within a team. Responsibilities include applying B2B sales to solve real business problems.",0.85,high,high,23,58
"Product Manager with 8 years of experience in product strategy and cross-functional delivery. Skilled in roadmapping, and Agile. Proven track record of delivering measurable results for cross-functional teams.","Financial Analyst needed at a growing consulting agency. Required skills: financial modeling, Excel, forecasting, valuation, and budgeting. The ideal candidate has 3+ years of experience in financial planning and analysis and a strong ability to work independently as well as within a team. Responsibilities include applying financial modeling to solve real business problems.",0.07,low,low,28,53
"Mobile App Developer with 7 years of experience in software engineering and application development. Skilled in Flutter, and Kotlin. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in Flutter and continue growing professionally as part of a driven team.","Cloud Architect needed at a growing healthcare organization. Required skills: AWS, Azure, cloud migration, and infrastructure as code.",0.57,medium,medium,65,18
"Network Engineer with 4 years of experience in information security and risk management. Skilled in Cisco, routing and switching, network troubleshooting, and VPN. Proven track record of delivering measurable results for cross-functional teams.","Cybersecurity Analyst needed at a growing financial services company. Required skills: SIEM, penetration testing, and network security. The ideal candidate has 3+ years of experience in information security and risk management and a strong ability to work independently as well as within a team. Responsibilities include applying SIEM to solve real business problems.",0.41,medium,medium,33,53
"Financial Analyst with 4 years of experience in financial planning and analysis. Skilled in financial modeling, Excel, forecasting, valuation, and budgeting. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in financial modeling and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Financial Analyst needed at a growing technology company. Required skills: financial modeling, Excel, forecasting, valuation, and budgeting. The ideal candidate has 2+ years of experience in financial planning and analysis and a strong ability to work independently as well as within a team. Responsibilities include applying financial modeling to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.92,high,high,59,62
"Accountant with 3 years of experience in financial planning and analysis. Skilled in bookkeeping, GAAP, tax preparation, QuickBooks, and reconciliation. Proven track record of delivering measurable results for cross-functional teams.","Accountant needed at a growing healthcare organization. Required skills: bookkeeping, GAAP, tax preparation, QuickBooks, and reconciliation. The ideal candidate has 1+ years of experience in financial planning and analysis and a strong ability to work independently as well as within a team. Responsibilities include applying bookkeeping to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.91,high,high,30,60
"Financial Analyst with 8 years of experience in financial planning and analysis. Skilled in financial modeling, Excel, forecasting, valuation, and budgeting. Proven track record of delivering measurable results for cross-functional teams.","Mobile App Developer needed at a growing enterprise firm. Required skills: Flutter, Kotlin, Swift, REST APIs, and mobile UI design. The ideal candidate has 2+ years of experience in software engineering and application development.",0.14,low,low,31,34
"Graphic Designer with 8 years of experience in user experience and visual design. Skilled in Adobe Photoshop, Illustrator, branding, and typography. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Adobe Photoshop and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Graphic Designer needed at a growing healthcare organization. Required skills: Adobe Photoshop, Illustrator, branding, typography, and layout design. The ideal candidate has 6+ years of experience in user experience and visual design and a strong ability to work independently as well as within a team. Responsibilities include applying Adobe Photoshop to solve real business problems.",0.88,high,high,59,55
"QA Engineer with 8 years of experience in software engineering and application development. Skilled in test automation, Selenium, manual testing, bug tracking, regression testing, and API testing. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in test automation and continue growing professionally. Strong communicator with a history of mentoring junior team members.","QA Engineer needed at a growing e-commerce platform. Required skills: test automation, Selenium, and manual testing. The ideal candidate has 6+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying test automation to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.55,high,high,65,62
"Accountant with 4 years of experience in financial planning and analysis. Skilled in bookkeeping, and GAAP. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in bookkeeping and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Financial Analyst needed at a growing healthcare organization. Required skills: financial modeling, Excel, and forecasting. The ideal candidate has 3+ years of experience in financial planning and analysis and a strong ability to work independently as well as within a team. Responsibilities include applying financial modeling to solve real business problems.",0.52,medium,medium,53,51
"Healthcare Analyst with 4 years of experience in healthcare data management. Skilled in SQL, and healthcare informatics. Proven track record of delivering measurable results for cross-functional teams.","QA Engineer needed at a growing SaaS company. Required skills: test automation, Selenium, manual testing, bug tracking, regression testing, and API testing. The ideal candidate has 8+ years of experience in software engineering and application development.",0.09,low,low,27,36
"Network Engineer with 6 years of experience in information security and risk management. Skilled in Cisco, routing and switching, and network troubleshooting. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Cisco and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Network Engineer needed at a growing e-commerce platform. Required skills: Cisco, routing and switching, network troubleshooting, VPN, firewalls, and TCP/IP. The ideal candidate has 4+ years of experience in information security and risk management and a strong ability to work independently as well as within a team. Responsibilities include applying Cisco to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.91,high,high,59,65
"Data Analyst with 10 years of experience in data analysis and reporting. Skilled in SQL, Python, Power BI, Excel, and data visualization. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in SQL and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Data Analyst needed at a growing SaaS company. Required skills: SQL, Python, and Power BI. The ideal candidate has 8+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying SQL to solve real business problems.",0.93,high,high,59,50
"Cloud Architect with 3 years of experience in software engineering and application development. Skilled in AWS, Azure, cloud migration, infrastructure as code, and cost optimization. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in AWS and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Cloud Architect needed at a growing healthcare organization. Required skills: AWS, Azure, cloud migration, infrastructure as code, and cost optimization.",0.88,high,high,62,20
"Recruiter with 2 years of experience in human resources and talent management. Skilled in sourcing, and ATS systems. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in sourcing and continue growing professionally. Strong communicator with a history of mentoring junior team members.","HR Manager needed at a growing SaaS company. Required skills: recruitment, employee relations, HRIS, and onboarding. The ideal candidate has 1+ years of experience in human resources and talent management.",0.53,medium,medium,55,30
"Operations Manager with 2 years of experience in operations and process management. Skilled in process improvement, supply chain, and team leadership. Proven track record of delivering measurable results for cross-functional teams.","Operations Manager needed at a growing e-commerce platform. Required skills: process improvement, supply chain, team leadership, and budgeting. The ideal candidate has 1+ years of experience in operations and process management.",0.41,medium,medium,31,31
"Sales Manager with 7 years of experience in business development and client relationship management. Skilled in B2B sales, CRM, and lead generation. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in B2B sales and continue growing professionally. Strong communicator with a history of mentoring junior team members.","HR Manager needed at a growing e-commerce platform. Required skills: recruitment, employee relations, HRIS, and onboarding. The ideal candidate has 3+ years of experience in human resources and talent management and a strong ability to work independently as well as within a team. Responsibilities include applying recruitment to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.11,low,low,60,61
"Healthcare Analyst with 5 years of experience in healthcare data management. Skilled in SQL, and healthcare informatics. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in SQL and continue growing professionally as part of a driven team.","Healthcare Analyst needed at a growing enterprise firm. Required skills: SQL, healthcare informatics, HIPAA compliance, Tableau, clinical data, and statistics.",0.5,medium,medium,63,20
"Graphic Designer with 2 years of experience in user experience and visual design. Skilled in Adobe Photoshop, Illustrator, branding, typography, and layout design. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in Adobe Photoshop and continue growing professionally as part of a driven team.","Cloud Architect needed at a growing financial services company. Required skills: AWS, Azure, cloud migration, infrastructure as code, cost optimization, and security architecture. The ideal candidate has 6+ years of experience in software engineering and application development.",0.1,low,low,70,37
"Business Analyst with 10 years of experience in product strategy and cross-functional delivery. Skilled in requirements gathering, SQL, process mapping, and stakeholder communication. Proven track record of delivering measurable results for cross-functional teams.","DevOps Engineer needed at a growing SaaS company. Required skills: Docker, Kubernetes, CI/CD, AWS, Terraform, and Linux.",0.13,low,low,33,17
"Business Analyst with 5 years of experience. Skilled in requirements gathering, and SQL. Looking for a requirements gathering focused role.","Backend Engineer needed at a growing hospital network. Required skills: Python, FastAPI, PostgreSQL, REST APIs, and Docker. The ideal candidate has 8+ years of experience in software engineering and application development.",0.11,low,low,20,31
